KEPT       | en       | Ukraine    | Jamala — 1944
TRANSLATED | ar       | Palestine  | Mashrou Leila — Kalaam (s/he) - كلام
TRANSLATED | ar       | Palestine  | Mashrou Leila — Djin - الجن
TRANSLATED | ar       | Palestine  | Mashrou Leila — Ala Babu - على بابه
TRANSLATED | ar       | Palestine  | Mashrou Leila — Cavalry - معاليك
TRANSLATED | ar       | Palestine  | Mashrou Leila — 3 minutes - ٣ دقائق
TRANSLATED | ar       | Palestine  | Mashrou Leila — Lil Watan - للوطن
TRANSLATED | ar       | Palestine  | Mashrou Leila — Abdo - عبدو
TRANSLATED | ar       | Palestine  | Mashrou Leila — Taxi - تاكسي
TRANSLATED | ar       | Palestine  | Mashrou Leila — Wa Nueid - ونعيد
TRANSLATED | ar       | Palestine  | Mashrou Leila — Tayf (Ghost) - طيف
TRANSLATED | he       | Israel     | Dudu Aharon — Hagiga Be’Israel - חגיגה בישראל
TRANSLATED | he       | Israel     | Dudu Aharon — טרמינל 3 - Terminal 3
TRANSLATED | he       | Israel     | Dudu Aharon — Hatuna Shel Hasmachot - חתונה של השמחות
TRANSLATED | he       | Israel     | Dudu Aharon — Bachalomot Shelanu - בחלומות שלנו
TRANSLATED | he       | Israel     | Dudu Aharon — Hasimcha Shelanu - השמחה שלנו
TRANSLATED | he       | Israel     | Dudu Aharon — 24 Sha’ot - 24 שעות
TRANSLATED | he       | Israel     | Dudu Aharon — Natata Li Ota - נתת לי אותה
TRANSLATED | he       | Israel     | Dudu Aharon — Sam Taba’at Ale’ah - שם טבעת עליה
TRANSLATED | he       | Israel     | Dudu Aharon — HaLev Shelach Bemamtina - הלב שלך בממתינה
TRANSLATED | he       | Israel     | Dudu Aharon — Simi Lak - שימי לק
TRANSLATED | he       | Israel     | Dudu Aharon — Ahava Al Esh Ktana - אהבה על אש קטנה
TRANSLATED | he       | Israel     | Dudu Aharon — Halamti - חלמתי
TRANSLATED | he       | Israel     | Dudu Aharon — הגורל הזה - This Destiny
TRANSLATED | he       | Israel     | Dudu Aharon — Shona Mimeni - שונה ממני
TRANSLATED | he       | Israel     | Dudu Aharon — Kmo Yeladim - כמו ילדים
TRANSLATED | he       | Israel     | Eyal Golan — Am Israel Hai - עם ישראל חי
TRANSLATED | he       | Israel     | Eyal Golan — Yaldei Hamirpasot - ילדי המרפסות
TRANSLATED | he       | Israel     | Eyal Golan — Ra’kevet Harim - רכבת הרים
TRANSLATED | he       | Israel     | Eyal Golan — Mi’kan Ve’ad Ha’netsach - מכאן ועד הנצח
TRANSLATED | he       | Israel     | Eyal Golan — Mikol Ha’ahavot Hazmaniyot - מכל האהבות הזמניות
TRANSLATED | he       | Israel     | Eyal Golan — Eer Namal - עיר נמל
TRANSLATED | he       | Israel     | Eyal Golan — Israel - ישראל
TRANSLATED | he       | Israel     | Eyal Golan — Tzlil Meitar - צליל מיתר
TRANSLATED | he       | Israel     | Eyal Golan — Pizmon Acher - פזמון אחר
TRANSLATED | he       | Israel     | Eyal Golan — Mimah At Mefachedet - ממה את מפחדת
TRANSLATED | he       | Israel     | Eyal Golan — Omed Kan Levadi - עומד כאן לבדי
TRANSLATED | he       | Israel     | Eyal Golan — Hozer Habayta - חוזר הביתה
TRANSLATED | he       | Israel     | Eyal Golan — Kshe’at Ito - כשאת איתו
TRANSLATED | he       | Israel     | Eyal Golan — Mi She’mamin - מי שמאמין
TRANSLATED | he       | Israel     | Eyal Golan — Im Rak Hayit Yoda’at - אם רק היית יודעת
