artist,country,song_title,year,original_lang,translated,compound,positive,negative,neutral,period
DAM,Palestine,Prozac - بروزاك,2019,ar,True,-0.9888,0.008,0.069,0.923,pre
DAM,Palestine,Dathiruni - دثروني,2019,ar,True,0.9957,0.195,0.063,0.742,pre
DAM,Palestine,#Who_You_R,,en,False,-0.9242,0.105,0.123,0.771,post
DAM,Palestine,"Mama, I Fell in Love with a Jew - وقعت بحب يهوديه",2012,en,False,0.9998,0.29,0.017,0.693,pre
DAM,Palestine,Ya Weli - يا ويلي,2019,ar,True,-0.991,0.029,0.096,0.876,pre
DAM,Palestine,I don’t have freedom - ما الي حرية,2007,ar,True,-0.9242,0.14,0.149,0.71,pre
DAM,Palestine,Hada Yidie Sitna - حدا يدعي ستنا,,ar,True,0.3291,0.049,0.03,0.921,post
DAM,Palestine,Stranger in my own country - غريب في بلادي,,ar,True,0.9015,0.108,0.103,0.789,post
DAM,Palestine,If I Could Go Back In Time - لو أرجع بالزمن,2012,ar,True,-0.9491,0.096,0.116,0.788,pre
DAM,Palestine,Who`s the Terrorist ( مين إرهابي ),2008,ar,True,-0.9998,0.056,0.271,0.673,pre
DAM,Palestine,Change Tomorrow - نغير بكره,2007,ar,True,0.7822,0.069,0.053,0.878,pre
DAM,Palestine,Freedom for My Sisters - الحريه انثى,2006,ar,True,-0.7887,0.0,0.012,0.988,pre
DAM,Palestine,Overdose - أوڤيردوس,2019,ar,True,-0.8433,0.091,0.105,0.804,pre
DAM,Palestine,Ha’e’e Kfaye - حقيقي كفاية,,ar,True,-0.3336,0.132,0.122,0.746,post
DAM,Palestine,Share’20 - شارع ٢٠,,ar,True,-0.9805,0.042,0.075,0.883,post
Shadia Mansour,Palestine,Al Kufiyyeh 3arabeyyeh ( الكوفية عربية ) (English version),2011,ar,True,0.9807,0.083,0.046,0.871,pre
Shadia Mansour,Palestine,كلن عندن دبابات | Kollon 3endon Dababaat (They all have military tanks),,ar,True,-0.9423,0.118,0.133,0.749,post
Shadia Mansour,Palestine,Ro7a Bla Raj3a (Journey of no return) - روحة بلا رجعة,,ar,True,-0.4767,0.0,0.181,0.819,post
Shadia Mansour,Palestine,Lezim Netghayar (We have to change) - لازم نتغير,,ar,True,-0.7587,0.109,0.114,0.777,post
Shadia Mansour,Palestine,Kellon andon dabbabet (كلن عندن دبابات),,ar,True,-0.9423,0.118,0.133,0.749,post
Shadia Mansour,Palestine,Assalamou Alaykoum - السلام عليكم,,ar,True,0.9887,0.18,0.022,0.798,post
Shadia Mansour,Palestine,Bazam | بزام,,ar,True,0.953,0.109,0.081,0.81,post
Tamer Nafar,Palestine,Johnnie Mashi - جوني ماشي,2017,ar,True,0.0,0.0,0.0,1.0,pre
Tamer Nafar,Palestine,Lord of Revolution - إله الثورة,,ar,True,-0.9491,0.093,0.101,0.806,post
Tamer Nafar,Palestine,Ya Rit - يا ريت,2016,ar,True,0.9982,0.234,0.101,0.665,pre
Tamer Nafar,Palestine,Kulombus Jinsi - قربي شوي كولومبوس جنسي,,ar,True,-0.4444,0.103,0.101,0.796,post
Tamer Nafar,Palestine,Ebn Al Lyd - إبن اللد,2022,ar,True,0.9855,0.16,0.075,0.765,pre
Tamer Nafar,Palestine,GO THERE,2022,ar,True,0.9373,0.05,0.0,0.95,pre
Tamer Nafar,Palestine,Tamer Nafar - Arabs Say Khod,2022,en,False,0.9874,0.107,0.046,0.847,pre
Tamer Nafar,Palestine,Ana Winti - أنا ونتي,,ar,True,0.9982,0.164,0.076,0.76,post
Tamer Nafar,Palestine,Bab al Shams - باب الشمس,,ar,True,0.9916,0.097,0.043,0.86,post
Tamer Nafar,Palestine,Darbak Khadra Feat Mouna Hawa - دربك خضرا مع منى حوا,,ar,True,0.9924,0.103,0.032,0.866,post
Tamer Nafar,Palestine,Ta lal alef la M E R - من ال-ت لل-أ,,ar,True,-0.9888,0.07,0.11,0.82,post
Tamer Nafar,Palestine,Seret Aravi - Jigga Juice Remix - סרט ערבי -ג’יגה ג’וס רימיקס,2016,he,True,-0.8817,0.06,0.081,0.859,pre
Tamer Nafar,Palestine,Awal Bawal - أول بأول,,ar,True,-0.2472,0.068,0.063,0.869,post
Tamer Nafar,Palestine,Mi Ha’terrorist? - ?מי הטרוריסט,2001,he,True,-0.9997,0.086,0.31,0.604,pre
Tamer Nafar,Palestine,Ana Winti Part 2 - أنا وأنتي الجزء الثاني,,ar,True,0.966,0.088,0.061,0.851,post
Tamer Nafar,Palestine,Korsi - كرسي,2023,ar,True,-0.9934,0.067,0.142,0.791,post
Tamer Nafar,Palestine,Scarlett Johansson Has Gas,,en,False,0.8814,0.104,0.091,0.805,post
Tamer Nafar,Palestine,Long Run Feat. Tamer nafar (HEBREW),,he,True,0.9442,0.067,0.046,0.887,post
Tamer Nafar,Palestine,Letter (Tamer) - من ال ي لل أ,,ar,True,0.677,0.117,0.108,0.775,post
Tamer Nafar,Palestine,Asami - الأسامي,,ar,True,0.0,0.0,0.0,1.0,post
Mohammed Assaf,Palestine,Dammi Falastini - دمي فلسطيني,2015,ar,True,0.9305,0.067,0.014,0.918,pre
Mohammed Assaf,Palestine,Makanak Khaly - مكانك خالي,2018,ar,True,0.0,0.0,0.0,1.0,pre
Mohammed Assaf,Palestine,Salam Le Gaza - سلام لغزة,2024,ar,True,0.0397,0.215,0.205,0.58,post
Mohammed Assaf,Palestine,Baddek Enayah - بدك عناية,2017,ar,True,0.9372,0.21,0.106,0.684,pre
Mohammed Assaf,Palestine,Rani - راني,2017,ar,True,0.0,0.0,0.0,1.0,pre
Mohammed Assaf,Palestine,عللومة عللومة,2017,ar,True,0.9693,0.231,0.186,0.582,pre
Saint Levant,Palestine,KALAMANTINA - كلمنتينا,2025,en,False,-0.9929,0.094,0.146,0.76,post
Saint Levant,Palestine,Very Few Friends,2022,en,False,0.9834,0.107,0.021,0.872,pre
Saint Levant,Palestine,NARI NARI NARI - ناري ناري ناري,2025,ar,True,-0.3818,0.012,0.016,0.972,post
Saint Levant,Palestine,Nails,2023,en,False,-0.9867,0.089,0.137,0.773,post
Saint Levant,Palestine,"From Gaza, With Love",2023,en,False,0.9931,0.145,0.041,0.814,post
Saint Levant,Palestine,DO YOU LOVE ME? - سنيورة,2025,ar,True,0.999,0.258,0.038,0.705,post
Saint Levant,Palestine,WAZIRA - وزيرة,2025,ar,True,0.9926,0.137,0.0,0.863,post
Saint Levant,Palestine,I Guess,2022,en,False,0.9959,0.188,0.021,0.791,pre
Saint Levant,Palestine,FaceTime,2023,en,False,-0.9888,0.071,0.141,0.788,post
Saint Levant,Palestine,Forgive Me,2024,en,False,0.4071,0.097,0.089,0.814,post
Saint Levant,Palestine,EXILE - معاكي,2025,en,False,-0.7684,0.035,0.073,0.892,post
Saint Levant,Palestine,Galbi,2024,en,False,-0.1779,0.042,0.052,0.906,post
Saint Levant,Palestine,DALOONA - دلعونة,2024,ar,True,0.9745,0.093,0.017,0.89,post
Saint Levant,Palestine,Allah Yihmeeki,2024,ar,True,0.9978,0.262,0.024,0.714,post
Saint Levant,Palestine,Deira,2024,en,False,0.9109,0.091,0.01,0.9,post
Saint Levant,Palestine,DIVA - بنت الذهبية,2025,en,False,0.9388,0.079,0.007,0.914,post
Saint Levant,Palestine,5am in Paris,2024,fr,True,-0.9888,0.03,0.143,0.827,post
Saint Levant,Palestine,SAMRA - سمرة,2025,ar,True,0.9762,0.095,0.029,0.876,post
Saint Levant,Palestine,WAIN MAADY WAIN - وين معدي وين,2025,en,False,0.9517,0.06,0.009,0.932,post
Saint Levant,Palestine,Between the Lines,2023,en,False,0.9736,0.057,0.013,0.93,post
Bashar Murad,Palestine,Wild West,2024,en,False,0.9911,0.202,0.114,0.684,post
Bashar Murad,Palestine,Vestrið villt,2024,no,True,0.993,0.222,0.123,0.656,post
Bashar Murad,Palestine,Stone,2024,en,False,-0.7291,0.058,0.082,0.86,post
Bashar Murad,Palestine,Maskhara (مسخرة),2020,ar,True,0.0,0.0,0.0,1.0,pre
Mahmoud Darwish,Palestine,Identity card (English version) - بطاقة هوية,,en,False,-0.768,0.038,0.053,0.909,post
Mahmoud Darwish,Palestine,بطاقة هوية ( An Identity Card),1964,ar,True,-0.968,0.038,0.08,0.882,pre
Mahmoud Darwish,Palestine,À ma mère,,fr,True,0.7424,0.095,0.051,0.854,post
Mahmoud Darwish,Palestine,"Who am I , without exile?",,en,False,0.9407,0.073,0.02,0.907,post
Mahmoud Darwish,Palestine,بطاقة هوية - Carte d’identité (Version française),,fr,True,-0.422,0.046,0.058,0.897,post
Mahmoud Darwish,Palestine,"My God, Why Did You Forsake Me?",,en,False,0.9615,0.177,0.038,0.785,post
Mahmoud Darwish,Palestine,فكّر بغيرك,,ar,True,-0.5155,0.085,0.11,0.805,post
Mahmoud Darwish,Palestine,Eleven Stars Over Andalusia,,en,False,0.6553,0.042,0.029,0.929,post
Mahmoud Darwish,Palestine,The dice player,2008,en,False,-0.3156,0.09,0.083,0.827,pre
Mahmoud Darwish,Palestine,Identity Card,,en,False,-0.9055,0.051,0.082,0.867,post
Monetochka,Russia,Селфхарм (Selfharm),,ru,True,0.9994,0.324,0.127,0.549,post
Monetochka,Russia,Каждый раз (Every Time),,ru,True,-0.9753,0.048,0.086,0.866,post
Monetochka,Russia,Кис Кис Кис (Kis Kis Kis),,ru,True,0.9749,0.14,0.115,0.745,post
Monetochka,Russia,Нимфоманка (Nymphomaniac),,ru,True,0.8176,0.078,0.048,0.874,post
Monetochka,Russia,Это было в России (It Was in Russia),,ru,True,0.987,0.136,0.065,0.799,post
Monetochka,Russia,Нет монет (No Coins),,ru,True,-0.9759,0.114,0.145,0.741,post
Monetochka,Russia,Последняя дискотека (The Last Disco),,ru,True,-0.3342,0.102,0.094,0.804,post
Monetochka,Russia,Монополия (Monopoly),,ru,True,0.8982,0.119,0.106,0.776,post
Monetochka,Russia,Твоё имя (Your Name),,ru,True,-0.673,0.079,0.091,0.829,post
Monetochka,Russia,90,,ru,True,-0.9936,0.073,0.166,0.761,post
Monetochka,Russia,Ты солдат (You Are a Soldier)*,,ru,True,-0.994,0.078,0.236,0.686,post
Monetochka,Russia,Пост-пост (Post-post),,ru,True,0.8423,0.092,0.074,0.834,post
Monetochka,Russia,Русский ковчег (Russian Ark),,ru,True,-0.9928,0.11,0.193,0.697,post
Monetochka,Russia,Запорожец (Zaporozhets),,ru,True,0.8979,0.115,0.075,0.81,post
Monetochka,Russia,Ночной ларёк (Night Stall),,ru,True,-0.9568,0.028,0.102,0.87,post
IC3PEAK,Russia,Смерти больше нет (No More Death),,ru,True,0.9599,0.097,0.067,0.836,post
IC3PEAK,Russia,Грустная сука (Sad Bitch),,ru,True,-0.9972,0.133,0.277,0.591,post
IC3PEAK,Russia,TRRST,,en,False,-0.9997,0.079,0.359,0.562,post
IC3PEAK,Russia,Сказка (Fairytale),,ru,True,-0.9953,0.023,0.184,0.793,post
IC3PEAK,Russia,Плак-Плак (Boo-Hoo),,ru,True,-0.9873,0.113,0.173,0.714,post
IC3PEAK,Russia,Весело и грустно (Happy and Sad),,ru,True,0.9994,0.412,0.166,0.422,post
IC3PEAK,Russia,Пламя (Flame),,ru,True,0.2773,0.126,0.141,0.733,post
IC3PEAK,Russia,Таблетки (Pills),,ru,True,0.988,0.215,0.085,0.7,post
IC3PEAK,Russia,VAMPIR,,ru,True,0.8237,0.179,0.154,0.667,post
IC3PEAK,Russia,Марш (Marching),,ru,True,0.9611,0.08,0.035,0.885,post
IC3PEAK,Russia,Зеркало (Mirror),,ru,True,-0.9532,0.021,0.082,0.896,post
IC3PEAK,Russia,Привет (Hello),,ru,True,-0.562,0.093,0.103,0.804,post
IC3PEAK,Russia,Яма (Hole),,ru,True,-0.9715,0.12,0.159,0.721,post
IC3PEAK,Russia,This World Is Sick,,en,False,0.9964,0.258,0.047,0.695,post
IC3PEAK,Russia,Красота и сила (Beauty and Strength),,ru,True,0.9145,0.166,0.117,0.717,post
Assala Nasri,Syria,Qad El Horoof - قد الحروف,,ar,True,0.0,0.0,0.0,1.0,post
Assala Nasri,Syria,Fouq - فوووق,,ar,True,0.0,0.0,0.0,1.0,post
Assala Nasri,Syria,60 Dqiqa Haiah - ٦٠ دقيقة حياة,,ar,True,0.9982,0.245,0.048,0.707,post
Assala Nasri,Syria,El Ward El Balady - الورد البلدي,,ar,True,0.9928,0.255,0.077,0.668,post
Assala Nasri,Syria,Sabb Farhety - سبب فرحتي,,ar,True,0.9955,0.182,0.03,0.789,post
Assala Nasri,Syria,Ensan - إنسان,,ar,True,0.9907,0.186,0.088,0.726,post
Assala Nasri,Syria,Soaal Basit - سؤال بسيط,,ar,True,0.9926,0.133,0.023,0.844,post
Assala Nasri,Syria,Aman Aman - أمان أمان,,ar,True,0.9984,0.294,0.059,0.648,post
Assala Nasri,Syria,Boaadak Ani - بعدك عني,,ar,True,0.0,0.0,0.0,1.0,post
Assala Nasri,Syria,Sandooq - صندوق,,ar,True,0.9927,0.141,0.047,0.812,post
Assala Nasri,Syria,Sid Lghram - سيد الغرام,,ar,True,0.0,0.0,0.0,1.0,post
Assala Nasri,Syria,Aktar - أكتر,,ar,True,0.0,0.0,0.0,1.0,post
Assala Nasri,Syria,Shokran - شكراً,,ar,True,0.0,0.0,0.0,1.0,post
Assala Nasri,Syria,Ya Magnon - يا مجنون,,ar,True,0.9909,0.256,0.211,0.534,post
Assala Nasri,Syria,Asfa - آسفة,,ar,True,0.9849,0.15,0.064,0.786,post
Sabah Fakhri,Syria,هيمتني,,ar,True,-0.9678,0.056,0.231,0.713,post
Sabah Fakhri,Syria,Kol lel Maliha,,ar,True,0.9946,0.212,0.058,0.731,post
Sabah Fakhri,Syria,samra’a,,ar,True,0.9643,0.17,0.121,0.709,post
Warda Al-Jazairia,Syria,Batwanes Beek - بتونس بيك,,ar,True,0.9991,0.148,0.038,0.814,post
Warda Al-Jazairia,Syria,Laialeena - ليالينا,,ar,True,0.9435,0.121,0.1,0.779,post
Warda Al-Jazairia,Syria,Lola El Malama - لولا الملامة,,ar,True,0.0,0.0,0.0,1.0,post
Warda Al-Jazairia,Syria,Haramt Ahebak - حرمت أحبك,,ar,True,0.9992,0.291,0.175,0.535,post
Warda Al-Jazairia,Syria,Hekayty Maa El Zaman - حكايتي مع الزمان,,ar,True,0.6325,0.089,0.06,0.851,post
Warda Al-Jazairia,Syria,Tab Wana Maly - طب وأنا مالي,,ar,True,0.9971,0.196,0.086,0.718,post
Warda Al-Jazairia,Syria,Bawadaak - بودعك,,ar,True,0.9752,0.028,0.0,0.972,post
Warda Al-Jazairia,Syria,Nar El Ghera - نار الغيرة,,ar,True,-0.9982,0.015,0.184,0.8,post
Warda Al-Jazairia,Syria,Wahashtony - وحشتوني,,ar,True,0.9996,0.332,0.128,0.54,post
Warda Al-Jazairia,Syria,El Baghbaghan - البغبغان,,ar,True,0.0,0.0,0.0,1.0,post
Warda Al-Jazairia,Syria,Eshtrony - إشتروني,,ar,True,0.9982,0.206,0.026,0.768,post
Warda Al-Jazairia,Syria,Ana Arfa - أنا عارفة,,ar,True,0.983,0.114,0.049,0.837,post
Warda Al-Jazairia,Syria,Hobak Salehne - حبك صالحني,,ar,True,0.9997,0.267,0.05,0.683,post
Warda Al-Jazairia,Syria,Ya Sidi - يا سيدي,,ar,True,0.9996,0.221,0.024,0.755,post
Warda Al-Jazairia,Syria,Ana Leya Men Gherak - أنا ليا مين غيرك,,ar,True,0.9909,0.17,0.107,0.723,post
Mayada El Hennawy,Syria,El Hob Elly Kan - الحب اللي كان,,ar,True,0.4939,0.004,0.0,0.996,post
Mayada El Hennawy,Syria,Bayent El Hob Alaya - بينت الحب عليا,,ar,True,0.9971,0.175,0.069,0.756,post
Mayada El Hennawy,Syria,El Shams - الشمس,,ar,True,0.9978,0.148,0.11,0.742,post
Mayada El Hennawy,Syria,Ana Baashaak - أنا بعشقك,,ar,True,0.9996,0.135,0.026,0.839,post
Mayada El Hennawy,Syria,Kaloly Ansa - قالولي أنسى,,ar,True,0.9987,0.227,0.088,0.686,post
Mayada El Hennawy,Syria,Seboly Albi - سيبولي قلبي,,ar,True,0.9988,0.26,0.091,0.649,post
Mayada El Hennawy,Syria,Habet Zekraiat - حبة ذكريات,,ar,True,0.0,0.0,0.0,1.0,post
Mayada El Hennawy,Syria,Betebeaid Any - بتبعد عني,,ar,True,0.9952,0.173,0.098,0.729,post
Mayada El Hennawy,Syria,Ana Mokhlesalak - أنا مخلصالك,,ar,True,0.999,0.211,0.029,0.761,post
Mayada El Hennawy,Syria,Ahebany Kama Ana - أحبني كما أنا,,ar,True,0.9991,0.354,0.053,0.593,post
Mayada El Hennawy,Syria,Ghayart Haytey - غيرت حياتي,,ar,True,0.9989,0.192,0.025,0.783,post
Mayada El Hennawy,Syria,Kebriaay - كبريائي,,ar,True,0.0,0.0,0.0,1.0,post
Mayada El Hennawy,Syria,Toba - توبة,,ar,True,0.9974,0.259,0.116,0.626,post
Mayada El Hennawy,Syria,Galak Kalamy - جالك كلامي,,ar,True,0.9997,0.316,0.053,0.631,post
Mayada El Hennawy,Syria,Mahma Aghany - مهما أغني,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,Ana Leek - أنا ليك,,ar,True,0.9997,0.473,0.019,0.509,post
Samo Zaen,Syria,Arraby Leya - قربي ليا,,ar,True,0.998,0.27,0.0,0.73,post
Samo Zaen,Syria,Laanek Meaaya - لأنك معايا,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,Taala Bas - تعالى بس,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,El Ward El Ahmar - الورد الأحمر,,ar,True,0.9854,0.17,0.079,0.751,post
Samo Zaen,Syria,Arbah Huroof - أربع حروف,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,Ayez Meny Eih - عايز مني إيه,,ar,True,0.9816,0.172,0.1,0.728,post
Samo Zaen,Syria,Di Habebti - دي حبيبتي,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,Helemt Beeky - حلمت بيكي,,ar,True,0.9872,0.105,0.016,0.879,post
Samo Zaen,Syria,Hataraf Amtey - هتعرف قيمتي,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,Fi Ashek - في عشقك,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,Aady - عادي,,ar,True,0.0,0.0,0.0,1.0,post
Samo Zaen,Syria,El Masal (El Asal) - المثل (العسل),,ar,True,0.9982,0.289,0.024,0.687,post
Samo Zaen,Syria,Faris Ahlamek - فارس أحلامك,,ar,True,0.9963,0.288,0.016,0.696,post
Samo Zaen,Syria,Taleaa Le Mein - طالع لمين,,ar,True,0.0,0.0,0.0,1.0,post
Rim Banna,Palestine,Supply me with an excess of love - زدني بفرط الحب,,ar,True,0.878,0.176,0.102,0.722,post
Rim Banna,Palestine,يا شعوب الشرق,,ar,True,0.8447,0.126,0.087,0.787,post
Rim Banna,Palestine,Sarah,,ar,True,-0.6808,0.059,0.093,0.849,post
Rim Banna,Palestine,Aftert You Left - من بعدك,,ar,True,0.8133,0.176,0.13,0.694,post
Nai Barghouti,Palestine,Ghandara,,ar,True,0.9776,0.137,0.082,0.781,post
Mashrou Leila,Palestine,Ma Tetrikni Heik - ما تتركني هيك,,ar,True,-0.8457,0.122,0.161,0.717,post
Mashrou Leila,Palestine,Fasateen - فساتين,,ar,True,0.9329,0.148,0.083,0.769,post
Mashrou Leila,Palestine,Raksit Leila - رقصة ليلى,,ar,True,-0.9791,0.0,0.217,0.783,post
Mashrou Leila,Palestine,Shim el Yasmine - شم الياسمين,,ar,True,0.9164,0.173,0.036,0.791,post
Mashrou Leila,Palestine,Comrades - أصحابي,,ar,True,0.0,0.0,0.0,1.0,post
Mashrou Leila,Palestine,Kalaam (s/he) - كلام,,ar,True,-0.9818,0.015,0.085,0.9,post
Mashrou Leila,Palestine,Djin - الجن,,ar,True,-0.8998,0.072,0.121,0.807,post
Mashrou Leila,Palestine,Ala Babu - على بابه,,ar,True,0.0,0.0,0.0,1.0,post
Mashrou Leila,Palestine,Cavalry - معاليك,,ar,True,0.9109,0.153,0.101,0.745,post
Mashrou Leila,Palestine,3 minutes - ٣ دقائق,,ar,True,0.8834,0.156,0.099,0.745,post
Mashrou Leila,Palestine,Lil Watan - للوطن,,ar,True,-0.4657,0.122,0.136,0.742,post
Mashrou Leila,Palestine,Abdo - عبدو,,ar,True,0.0,0.0,0.0,1.0,post
Mashrou Leila,Palestine,Taxi - تاكسي,,ar,True,-0.8278,0.088,0.154,0.758,post
Mashrou Leila,Palestine,Wa Nueid - ونعيد,,ar,True,-0.7964,0.034,0.098,0.868,post
Mashrou Leila,Palestine,Tayf (Ghost) - طيف,,ar,True,-0.415,0.036,0.046,0.918,post
Dudu Aharon,Israel,Hagiga Be’Israel - חגיגה בישראל,,he,True,0.9821,0.165,0.054,0.781,post
Dudu Aharon,Israel,טרמינל 3 - Terminal 3,,he,True,0.9894,0.235,0.026,0.739,post
Dudu Aharon,Israel,Hatuna Shel Hasmachot - חתונה של השמחות,,he,True,0.9883,0.105,0.026,0.869,post
Dudu Aharon,Israel,Bachalomot Shelanu - בחלומות שלנו,,he,True,0.8666,0.156,0.132,0.712,post
Dudu Aharon,Israel,Hasimcha Shelanu - השמחה שלנו,,he,True,0.999,0.308,0.006,0.685,post
Dudu Aharon,Israel,24 Sha’ot - 24 שעות,,he,True,0.9812,0.194,0.03,0.777,post
Dudu Aharon,Israel,Natata Li Ota - נתת לי אותה,,he,True,0.9978,0.245,0.041,0.714,post
Dudu Aharon,Israel,Sam Taba’at Ale’ah - שם טבעת עליה,,he,True,0.9962,0.196,0.069,0.734,post
Dudu Aharon,Israel,HaLev Shelach Bemamtina - הלב שלך בממתינה,,he,True,0.9949,0.229,0.102,0.669,post
Dudu Aharon,Israel,Simi Lak - שימי לק,,he,True,0.9666,0.164,0.084,0.752,post
Dudu Aharon,Israel,Ahava Al Esh Ktana - אהבה על אש קטנה,,he,True,0.9735,0.194,0.137,0.67,post
Dudu Aharon,Israel,Halamti - חלמתי,,he,True,0.99,0.209,0.1,0.692,post
Dudu Aharon,Israel,הגורל הזה - This Destiny,,he,True,0.9316,0.173,0.112,0.715,post
Dudu Aharon,Israel,Shona Mimeni - שונה ממני,,he,True,0.9983,0.279,0.096,0.625,post
Dudu Aharon,Israel,Kmo Yeladim - כמו ילדים,,he,True,0.9945,0.207,0.012,0.781,post
Eyal Golan,Israel,Am Israel Hai - עם ישראל חי,,he,True,0.994,0.215,0.09,0.694,post
Eyal Golan,Israel,Yaldei Hamirpasot - ילדי המרפסות,,he,True,0.6548,0.069,0.06,0.871,post
Eyal Golan,Israel,Ra’kevet Harim - רכבת הרים,,he,True,0.8126,0.079,0.053,0.869,post
Eyal Golan,Israel,Mi’kan Ve’ad Ha’netsach - מכאן ועד הנצח,,he,True,0.9977,0.255,0.032,0.713,post
Eyal Golan,Israel,Mikol Ha’ahavot Hazmaniyot - מכל האהבות הזמניות,,he,True,0.9937,0.156,0.04,0.804,post
Eyal Golan,Israel,Eer Namal - עיר נמל,,he,True,0.3666,0.095,0.1,0.806,post
Eyal Golan,Israel,Israel - ישראל,,he,True,0.9666,0.14,0.035,0.825,post
Eyal Golan,Israel,Tzlil Meitar - צליל מיתר,,he,True,-0.0946,0.104,0.115,0.781,post
Eyal Golan,Israel,Pizmon Acher - פזמון אחר,,he,True,0.9656,0.132,0.089,0.779,post
Eyal Golan,Israel,Mimah At Mefachedet - ממה את מפחדת,,he,True,-0.8113,0.0,0.03,0.97,post
Eyal Golan,Israel,Omed Kan Levadi - עומד כאן לבדי,,he,True,0.9888,0.198,0.056,0.746,post
Eyal Golan,Israel,Hozer Habayta - חוזר הביתה,,he,True,0.8766,0.113,0.07,0.817,post
Eyal Golan,Israel,Kshe’at Ito - כשאת איתו,,he,True,0.9291,0.202,0.143,0.655,post
Eyal Golan,Israel,Mi She’mamin - מי שמאמין,,he,True,0.9716,0.161,0.072,0.767,post
Eyal Golan,Israel,Im Rak Hayit Yoda’at - אם רק היית יודעת,,he,True,-0.7861,0.119,0.16,0.722,post
